NUANO,NUVOLUME,NUTRAMITE,FLTIPOPROCESSO,CDTIPOPARECER,CDMOTIVOTRAMI,FLPARECERASSINADO,FLTRAMIASSINADA,FLULTIMO,FLSITUACAO,FLSIGILOSO,FLPERMITERECUSA,FLBLOQUEIATRAMI,CDORGAOORIGEM,CDORGAOTRAMI
2012,0,4,L,,,,,,,N,S,0,1069,1077
2012,0,2,L,,,,,,,N,S,0,1069,1077
2012,1,7,F,,,,,S,E,N,S,0,7,52
2012,0,1,L,4,,,,,,N,,0,,7
2012,0,2,L,,,,,,,N,S,0,7,633
2012,0,6,L,,,,,,,N,S,0,50,2004
2012,0,2,C,,,,,,,N,S,0,7,1875
2012,0,3,C,,,,,,,N,S,0,1875,1
2015,0,1,L,,,,,,,N,,0,,2008
2015,1,1,F,,,,,S,E,N,,0,,10
2012,1,2,F,4,,,,S,A,N,S,0,7,8
2012,1,1,F,4,,N,N,S,Q,N,S,0,,7
2012,0,6,L,,,,,,,N,S,0,27,2008
2012,1,3,F,,,,,S,E,N,S,0,51,2002
2012,1,2,F,4,,,,S,A,N,S,0,7,2006
2011,1,1,F,,,N,N,S,E,N,S,0,,7
2013,0,3,C,,,,,,,N,S,0,7,1875
2013,0,2,L,4,,,,,,N,S,0,7,83
2013,1,1,F,4,,,,S,A,N,,0,,50
2013,0,3,C,,,,,,,N,S,0,7,498
2013,0,6,L,,,,,,,N,S,0,27,2008
2011,1,18,F,4,,,,N,A,N,S,0,633,2002
2012,0,2,L,,,,,,,N,S,0,1539,1
2013,0,2,L,,,,,,,N,S,0,7,92
2013,1,6,F,4,,,,S,A,N,S,0,92,93
2015,0,3,C,,,,,,,N,S,0,458,1928
2015,1,14,F,,,,,S,E,N,S,0,1804,2002
2015,1,3,F,4,,,,S,A,N,S,0,10,2006
2011,1,1,F,,,N,N,S,A,N,S,0,,7
2016,0,1,L,,,,,,,N,,0,,2006
2016,0,3,L,,,,,,,N,S,0,27,93
2016,0,1,L,,,,,,,N,,0,,201
2013,1,9,F,,,,,S,E,N,S,0,1537,1996
2013,0,3,L,,,,,,,N,S,0,1788,7
2013,1,10,F,4,,,,S,Q,N,S,0,7,7
2012,0,4,L,,,,,,,N,S,0,7,50
1998,1,1,F,,,N,N,S,E,N,S,0,,7
1999,1,9,F,4,,,,S,Q,N,S,0,50,27
2013,1,14,F,4,,,,N,A,N,S,0,633,1996
2013,0,2,L,,,,,,,N,S,0,2,93
2017,0,1,L,,,,,,,N,,0,,2006
2001,1,4,F,,,,,S,R,N,S,0,7,51
2017,0,4,L,,,,,,,N,S,0,7,50
2012,0,1,L,,,,,,,N,,0,,50
2015,0,1,L,,,,,,,N,,0,,7
2015,0,3,L,,,,,,,N,S,0,1788,7
2015,0,4,L,,,,,,,N,S,0,2008,2004
2015,0,1,L,,,,,,,N,,0,,2006
2013,0,2,L,,,,,,,N,S,0,1,1539
2013,0,2,L,,,,,,,N,S,0,92,93
2015,0,17,L,,,,,,,N,S,0,92,93
2015,0,5,L,,,,,,,N,S,0,2008,2004
2015,0,3,L,,,,,,,N,S,0,27,50
2013,0,3,C,,,,,,,N,S,0,432,1
