@relation tramitacoes2018-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute FLTIPOPROCESSO {F,L}
@attribute NUTRAMITE {2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,104,105,106,107,108,110,111,112,113,114,116,117,119,120,122,123}
@attribute CDASSUNTO {1,2,3,4,5,6,7,9,10,11,13,14,15,16,17,19,20,21,22,23,24,25,26,28,29,30,32,38,39,41,44,49,70,71,73,74,75,77,78,79,80,83,89,91,92,93,94,96,97,98,99,100,101,102,103,105,106,107,108,109,110,111,112,114,115}
@attribute CDTIPOPARECER {1,2,4}
@attribute CDSETORRESP {1,2,7,8,10,20,27,32,33,35,39,47,50,51,52,53,60,62,83,90,92,93,141,151,213,229,259,277,284,285,305,348,364,450,756,1006,1078,1103,1286,1308,1397,1417,1537,1538,1539,1540,1541,1575,1786,1788,1791,1793,1844,1875,1876,1881,1978,1996,2002,2004,2006,2008,2010,2012,2014,5743,5885,5930,5982,5994,6027,6028,6029,6080,6083,6097,6211,6214,6215,6216,6221,6227,6230}
@attribute CDSETORABERTURA {3,7,10,27,32,33,50,51,53,60,73,83,84,87,90,92,93,234,613,718,769,775,778,782,990,992,993,997,1006,1026,1061,1065,1072,1095,1205,1235,1249,1561,1786,1788,1791,1793,1835,1844,1875,1996,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2128,5893,5895,5898,5899,5902,6064,6074,6080,6128,6205,6211,6214,6215,6216,6217,6218,6220,6221,6222,6230}
@attribute CDSETORAUTUACAO {1,7,10,19,31,33,35,47,50,51,55,56,60,62,83,93,109,136,137,155,158,160,174,176,182,184,185,187,188,190,191,192,197,200,201,207,210,211,214,215,216,241,249,251,258,259,260,262,264,269,277,283,287,288,289,290,291,294,298,305,306,309,312,315,322,324,329,330,338,339,340,343,352,353,361,365,375,378,381,389,391,394,395,398,399,407,412,415,422,428,432,434,435,442,446,447,452,453,454,455,456,461,466,469,560,580,605,639,642,705,756,769,782,785,790,862,864,915,924,999,1006,1026,1036,1044,1049,1053,1054,1065,1095,1207,1214,1215,1227,1231,1446,1447,1449,1451,1519,1537,1560,1562,1572,1574,1583,1584,1592,1608,1643,1662,1758,1764,1766,1786,1788,1791,1793,1799,1802,1866,1918,1928,1934,1951,1955,1978,1996,2002,2004,2006,2008,2010,2012,2015,2114,3086,4280,4732,5124,5196,5287,5843,5855,5875,5885,5895,5907,5961,5982,5991,5999,6000,6015,6017,6020,6029,6049,6055,6065,6072,6080,6083,6088,6096,6137,6145,6213,6214,6222,6227,6230}
@attribute CDUSUARIO {AACASTRO,VASILVA,MCARVALHO,ACFREITAS,GERSON,VVCOSTA,ISRICARTE,REBSOUZA,FGCRUZ,PVCOSTA,MMANDRADE,SRPATRICIO,MWENTZ,CDSILVA,DDURIEUX,LJACQUES,CFSILVA,MTRICHARTZ,DORIS,JSOUZA,PPASSOLD,EKZAPPELINI,BVIEIRA,AHSANTOS,LCAVALLERI,ACRESPALDI,WBALSAMO,BBRIBEIRO,FPGCOSTA,EDORIGATTI,MTCESCONETO,ESARMENTO,NELIZA,PREMOR,HVMAZZOLA,BBROGNOLI,VOLIVEIRA,VAMARAL,LCSMACHADO,SDCARDOSO,JTRES,RMARTENDAL,CRODRIGUES,SMITHOMAZ,MMDASILVA,NRFERNANDES,DROGLIO,EMMFILHO,RCAVANHOLI,MIPZIMMERMANN,RRZDASILVA,TMBATISTA,SDMARCOS,MGUEDES,LFUHR,APPEREIRA,YCOSTA,ILIMA,PMFINARDI,VAGUIAR,MMARTINS,TBMEDEIROS,MAZEVEDO,LCLAGO,SAKOERICH,BCCORTES,MROSA,LDECKER,RKRAUS,DASILVA,KCIPRIANI,GJMOZZER,TLSANTOS,SFPEREIRA,BLEIRIA,KSANHAIA,VASMAFIOLETTI,RFERNANDES,SFLUZ,FEMSANTOS,YFERREIRA,LRGREGORIO,ACERVI,OBOING,ALIGARAUJO,LMDSANTOS,MVALERIO,GNDASILVA,MSCOSTA,LAVILLA,AMKOCH,FCOLLET,TRAMIRES,CLCCOSTA,IMCKOCHE,SLKRAESKI,ABSSOUZA,BFGONZAGA,MHULLER,LHSAAR,VPARGENDLER,EZANFERRARI,AVPEREIRA,TRECH,LEMPEREIRA,NMGODINHO,FLISBOA,SGA,TCRAIMUNDO,RGPINHEIRO,FREGIS,SRIGOTTI,LMSANTOS,JMMZEFERINO,ISA,HMARTINELLI,JMBARRETO,TCAPISTRANO,AGARAUJO,FBRITO,SSAMORIM,SKOCH,JBOMBASAR,LBUSS,JCCONRADO,RSCHIEFLER,FGREGUI,DCHEINECK,CSILVANO,LFROSA,MSARTOR,RELUZ,ENBRAS,WDACPARRELLA,RDAROS,TGBETIO,VRCASTRO,SELIAS,AMOLIVEIRA,JFONTOURA,MBATTIATO,MMONGUILHOTT,GMERIZE,ISILVEIRA,AVOLIVEIRA,FLCHAVES,FCOMIN,ISNUNES,MFTONINI,MGHENRIQUE,RCARLESSO,JJESKE,BSCUNHA,TBOSCHINI,SAMSILVA,MLIMA,SSIPRIANO,DBRISTOT,BNOSOL,SNORONHA,MCONCEICAO,RSDEMELO,RRAMOS,RGRUMICHE,RZEFERINO,LHNUNES,GDDASILVA,GCORREGGIO,JAPARECIDA,IAFACINI,PWBRAMONT,GFRANZONI,RPTDAVILA,FWESTPHAL,EAFORTES,RAOLIVEIRA,JOFERNANDES,FCORAL,LFIGUEIRO,FKSOUZA,CSMATOS,RSEIFFERT,VACSOUZA,FISILVA,SZALVES,JROMAN,LHTHIESEN,MWALETE,PRSOUZA,AGSILVEIRA,MAYRAS,KPRIM,CSILVEIRA,IZAFFONATO,AAALMEIDA,MCOLSEN,PSSILVEIRA,JMENDES,BCOLPANI,GMAY,AWILBERT,JROSARIO,RMARIA,PALLEBRANDT,MCVIEIRA,HCOUTINHO,SSCOUTINHO,LLSILVA,KASSUNCAO,MLSERPA,FADESDACUNHA,APISANI,TRROCHA,DSEEMANN,MGSILVA,GLDAROS,RRMORAES,EBIAZIN,MRROSA,TDASILVEIRA,SPIRES,JANAINA,MGATELLI,LPASCOAL,FRRODRIGUES,AASILVA,AJUMES,CSOLIVEIRA,DBERGMANN,RNSTIPP,ALONGO,MDACOREGGIO,JCOMIM,JPERING,CHRISTIAN,RDEVANGELISTA,NLORENZ,DCUNHA,JSBVILAIN,MMVALE,TGBARROS,RHSOUZA,CAMILADEOLIVEIRA,MGROSSL,LMARTINS,MMBERNARDINO,CRSANTOS,EVIECELI,CESTEIL,JACOSTA,GSILVEIRA,GMROSA,LVIEIRA,LKEMPNER,MWINTER,CVICENTE,IANNES,ADRIANO,OZANCHI,ROPIRES,AGRAZIOTIN,EGOULART,OCIOFFI,CBOSCHETTO,SOBIERAJSKI,CSIQUEIRA,JMORIGUTI,JBOTEGA,RHOFFMANN,AFERRAZ,EMENDES,TDDESOUZA,LMIGUEL,JKSILVA,LRDUARTE}
@attribute CDSETORORIGEM {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,73,83,84,87,90,92,93,225,234,238,310,429,459,498,589,613,633,718,748,769,775,776,778,782,789,790,862,990,992,993,994,997,1006,1017,1026,1061,1065,1072,1095,1205,1235,1249,1308,1519,1537,1539,1561,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1978,1987,1996,2000,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2127,2128,4732,5221,5893,5895,5898,5899,5901,5902,5932,5944,5957,5984,6020,6027,6029,6064,6065,6074,6080,6128,6205,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}
@attribute CDSETORDESTINO {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,83,84,87,90,92,93,225,230,238,310,429,431,436,459,498,524,589,613,633,748,775,776,778,782,789,790,862,994,997,1006,1017,1308,1519,1537,1539,1562,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1881,1978,1987,1996,2000,2002,2004,2006,2008,2010,2012,2014,2018,2127,2128,2290,4732,5221,5287,5307,5893,5895,5899,5901,5902,5932,5944,5953,5957,5984,5986,6020,6027,6029,6062,6065,6080,6089,6103,6121,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}

@data
F,2,10,1,2004,50,2004,AACASTRO,50,2012
F,5,16,4,50,7,2004,VASILVA,2004,50
F,6,110,1,51,51,51,MCARVALHO,2000,92
F,5,110,1,51,51,51,ACFREITAS,5901,2000
F,2,110,?,51,51,51,GERSON,51,1006
F,4,110,1,51,51,51,VVCOSTA,2002,7
F,7,110,1,51,51,51,ACFREITAS,5901,51
F,9,10,1,2004,50,50,VASILVA,2004,50
F,2,23,1,2008,2008,2008,AACASTRO,2008,2004
F,6,23,?,2008,2008,2008,ISRICARTE,2012,2004
F,5,6,?,2010,2010,2010,ISRICARTE,2012,2010
F,3,7,1,10,10,10,REBSOUZA,633,50
F,2,10,1,2004,2004,2004,VASILVA,2004,2012
F,2,23,1,2004,2004,2004,FGCRUZ,2004,2012
F,2,6,1,2012,2012,2010,ISRICARTE,2012,2010
F,5,110,1,51,51,51,PVCOSTA,1006,51
F,9,6,1,7,7,1793,MMANDRADE,7,50
F,9,28,1,1996,1996,1996,SRPATRICIO,1537,6027
F,15,28,1,1996,1996,1996,MWENTZ,1996,1537
F,7,28,1,1996,1996,1996,REBSOUZA,633,1996
F,2,28,1,1996,1996,1996,CDSILVA,1996,633
F,13,10,1,50,7,2004,DDURIEUX,2010,2004
F,15,10,1,50,7,2004,LJACQUES,50,633
F,10,10,1,50,7,2004,AACASTRO,2004,7
F,2,23,1,2004,2004,2004,CFSILVA,2004,2012
F,5,1,1,50,7,50,LJACQUES,50,7
F,7,1,1,50,7,50,MTRICHARTZ,6029,7
F,7,13,1,50,7,2004,LJACQUES,50,2004
F,10,110,?,51,51,51,DORIS,51,1006
F,4,78,?,1537,7,7,JSOUZA,7,498
F,5,4,1,50,50,50,PPASSOLD,50,633
F,2,4,1,50,50,50,EKZAPPELINI,50,7
F,6,44,1,1996,1996,1996,CDSILVA,1996,6080
F,7,44,1,1996,1996,1996,BVIEIRA,6080,1996
F,35,110,1,51,51,51,AHSANTOS,1537,51
F,16,110,?,51,51,51,GERSON,51,5895
F,13,80,1,7,7,7,LCAVALLERI,2012,53
F,3,23,1,2008,2008,2008,ACRESPALDI,27,2008
F,5,23,1,2008,2008,2008,AACASTRO,2004,2012
F,6,2,4,50,50,50,WBALSAMO,6230,50
F,3,2,1,50,50,50,SRPATRICIO,7,7
F,5,2,1,50,50,50,LJACQUES,50,6230
F,2,6,?,2012,2012,2010,ISRICARTE,2012,2010
F,8,44,1,1996,1996,1996,CDSILVA,1996,6080
F,13,44,4,1996,1996,1996,BVIEIRA,6080,1996
F,5,23,?,2004,2004,2004,ACRESPALDI,2012,2004
F,9,10,1,2004,2004,2004,VASILVA,2004,50
F,10,10,1,2004,2004,2004,LJACQUES,50,633
F,4,80,?,1,7,7,JSOUZA,7,5221
F,5,44,1,1996,1996,1996,CDSILVA,589,1996
F,22,110,1,51,2002,2002,BBRIBEIRO,633,2002
F,28,110,1,51,2002,2002,FPGCOSTA,51,1537
F,8,110,1,51,2002,2002,SRPATRICIO,1537,2002
F,13,110,1,51,2002,2002,EDORIGATTI,2002,633
F,7,10,1,50,7,2004,AACASTRO,2004,2010
F,11,10,4,50,7,2004,MTCESCONETO,633,50
F,10,10,1,50,7,2004,LJACQUES,50,633
F,5,110,1,51,51,51,GERSON,51,5901
F,7,110,1,51,51,51,ESARMENTO,2000,633
F,2,80,1,50,7,50,MMANDRADE,7,50
F,3,6,1,2010,2010,2010,AHSANTOS,1537,2012
F,18,110,1,51,51,51,NELIZA,6027,51
F,4,110,1,51,51,51,EDORIGATTI,2002,7
F,9,10,1,2004,50,50,VASILVA,2004,633
F,2,10,1,2004,50,50,AACASTRO,50,7
F,21,44,1,1996,1996,1996,MMANDRADE,1537,6027
F,19,44,1,1996,1996,1996,NELIZA,1537,1996
F,5,44,1,1996,1996,1996,CDSILVA,62,1996
F,7,44,1,1996,1996,1996,PREMOR,6080,1996
F,3,109,1,7,7,1793,PPASSOLD,50,1793
F,2,10,1,2004,50,2004,VASILVA,50,2012
F,100,110,1,51,51,51,MCARVALHO,92,5901
F,96,110,1,51,51,51,HVMAZZOLA,51,5901
F,84,110,1,51,51,51,MCARVALHO,92,5901
F,42,110,1,51,51,51,BBROGNOLI,5901,2002
F,48,110,1,51,51,51,SRPATRICIO,1537,6027
F,40,110,1,51,51,51,MCARVALHO,92,5901
F,14,110,1,51,51,51,VVCOSTA,51,7
F,16,110,?,51,51,51,FPGCOSTA,51,5895
F,30,110,1,51,51,51,BBRIBEIRO,2002,1537
F,2,74,?,2004,50,2006,EKZAPPELINI,50,2004
F,3,44,1,10,10,10,VOLIVEIRA,2018,5893
F,4,44,1,10,10,10,VAMARAL,10,5893
F,4,7,1,2006,2006,2006,LJACQUES,50,2012
F,6,23,1,2008,2008,2008,FGCRUZ,2004,2012
F,2,80,1,6080,6080,6080,BVIEIRA,6080,1
F,12,20,1,2006,2006,2006,SRPATRICIO,7,50
F,15,20,1,2006,2006,2006,SRPATRICIO,7,50
F,13,20,1,2006,2006,2006,LJACQUES,50,2004
F,8,20,1,2006,2006,2006,SRPATRICIO,7,50
F,2,6,1,2012,2012,2010,LCSMACHADO,2012,2010
F,11,6,1,6029,7,1793,ACRESPALDI,53,2012
F,4,2,1,1793,1793,1793,SRPATRICIO,7,7
F,9,10,1,7,7,2004,SDCARDOSO,2010,2004
F,8,10,1,50,7,2004,LJACQUES,50,633
F,6,10,1,50,7,2004,EKZAPPELINI,50,2004
F,2,17,1,2006,2006,2006,JTRES,2006,7
F,11,80,1,7,7,1788,MMANDRADE,7,53
F,9,80,1,7,7,1788,RMARTENDAL,1788,7
F,4,23,1,2004,2004,2004,AACASTRO,2004,2012
F,4,110,?,51,1996,1996,JSOUZA,1,1996
F,7,10,1,50,7,2004,LJACQUES,50,2004
F,4,10,1,2004,2004,50,MTCESCONETO,633,50
F,24,110,1,51,51,51,FPGCOSTA,51,1537
F,11,110,1,51,51,51,CRODRIGUES,2002,51
F,7,23,?,2004,2004,2004,SMITHOMAZ,2012,2004
F,4,2,?,6230,50,50,SRPATRICIO,7,50
F,2,6,1,2010,2010,2010,MMDASILVA,2010,1537
F,9,7,1,10,10,10,LJACQUES,50,2012
F,6,7,1,10,10,10,PPASSOLD,50,10
F,24,97,?,6211,51,51,NRFERNANDES,2002,92
F,17,97,1,6211,51,51,DROGLIO,5901,2002
F,18,97,1,6211,51,51,NRFERNANDES,2002,51
F,7,7,?,1,7,7,LJACQUES,50,2004
F,8,10,1,50,7,2004,MMDASILVA,2010,2004
F,5,10,1,50,7,2004,SRPATRICIO,7,50
F,3,23,1,6227,2004,6227,LJACQUES,50,7
F,3,39,4,1,7,1572,SRPATRICIO,1539,7
F,5,44,1,10,10,10,EMMFILHO,5893,10
F,3,44,1,10,10,10,RCAVANHOLI,5893,10
F,11,17,?,2006,2006,2006,MIPZIMMERMANN,2006,2004
F,4,17,1,2006,2006,2006,MMANDRADE,7,50
F,2,10,1,1,2004,2004,VASILVA,2004,2012
F,7,10,4,1,2004,2004,MTCESCONETO,633,50
F,2,10,1,1,2004,2004,AACASTRO,2004,2012
F,7,17,1,2006,2006,705,RRZDASILVA,2006,50
F,3,10,1,1,2004,2004,VASILVA,2012,2004
F,11,17,1,2006,2006,1095,JTRES,2006,2004
F,10,17,1,2006,2006,1095,TMBATISTA,50,2006
F,3,7,1,10,10,10,SDMARCOS,633,50
F,7,44,1,10,10,10,RCAVANHOLI,5893,10
F,8,44,1,10,10,10,MGUEDES,10,5893
F,2,44,1,10,10,10,LFUHR,10,2018
F,10,10,1,50,7,2004,LJACQUES,2010,50
F,4,10,1,50,7,2004,VASILVA,2004,2010
F,11,10,?,50,7,2004,LJACQUES,50,2004
F,3,7,?,10,10,10,VOLIVEIRA,2018,10
F,4,96,1,1537,7,7,MMANDRADE,7,5984
F,2,6,1,2010,2010,2010,MMANDRADE,2010,7
F,4,2,4,50,50,50,NELIZA,7,50
F,7,1,1,50,7,50,APPEREIRA,6029,7
F,4,1,1,50,7,50,LJACQUES,50,6029
F,7,80,1,50,7,50,NELIZA,1537,7
F,5,91,1,6227,2002,6227,NELIZA,6027,2002
F,8,110,1,51,51,51,HVMAZZOLA,51,7
F,24,110,4,51,51,51,NELIZA,7,5895
F,23,110,1,51,51,51,YCOSTA,5895,7
F,6,110,?,51,51,51,FPGCOSTA,51,5895
F,9,110,4,51,51,51,MCARVALHO,92,93
F,9,89,1,50,7,197,ISRICARTE,50,2012
F,4,29,1,1,7,1791,JSOUZA,7,7
F,11,10,4,7,7,2004,LJACQUES,50,2004
