NUANO,FLTIPOPROCESSO,NUTRAMITE,CDASSUNTO,CDTIPOPARECER,CDSETORRESP,CDSETORABERTURA,CDSETORAUTUACAO,CDTIPOPROCESSO,CDUSUARIO,CDSETORORIGEM,CDSETORDESTINO
2018,F,2,10,1,2004,50,2004,1,AACASTRO,50,2012
2018,F,5,16,4,50,7,2004,1,VASILVA,2004,50
2018,F,6,110,1,51,51,51,1,MCARVALHO,2000,92
2018,F,5,110,1,51,51,51,1,ACFREITAS,5901,2000
2018,F,2,110,,51,51,51,1,GERSON,51,1006
2018,F,4,110,1,51,51,51,1,VVCOSTA,2002,7
2018,F,7,110,1,51,51,51,1,ACFREITAS,5901,51
2018,F,9,10,1,2004,50,50,1,VASILVA,2004,50
2018,F,2,23,1,2008,2008,2008,1,AACASTRO,2008,2004
2018,F,6,23,,2008,2008,2008,1,ISRICARTE,2012,2004
2018,F,5,6,,2010,2010,2010,1,ISRICARTE,2012,2010
2018,F,3,7,1,10,10,10,1,REBSOUZA,633,50
2018,F,2,10,1,2004,2004,2004,1,VASILVA,2004,2012
2018,F,2,23,1,2004,2004,2004,1,FGCRUZ,2004,2012
2018,F,2,6,1,2012,2012,2010,1,ISRICARTE,2012,2010
2018,F,5,110,1,51,51,51,1,PVCOSTA,1006,51
2018,F,9,6,1,7,7,1793,1,MMANDRADE,7,50
2018,F,9,28,1,1996,1996,1996,1,SRPATRICIO,1537,6027
2018,F,15,28,1,1996,1996,1996,1,MWENTZ,1996,1537
2018,F,7,28,1,1996,1996,1996,1,REBSOUZA,633,1996
2018,F,2,28,1,1996,1996,1996,1,CDSILVA,1996,633
2018,F,13,10,1,50,7,2004,1,DDURIEUX,2010,2004
2018,F,15,10,1,50,7,2004,1,LJACQUES,50,633
2018,F,10,10,1,50,7,2004,1,AACASTRO,2004,7
2018,F,2,23,1,2004,2004,2004,1,CFSILVA,2004,2012
2018,F,5,1,1,50,7,50,1,LJACQUES,50,7
2018,F,7,1,1,50,7,50,1,MTRICHARTZ,6029,7
2018,F,7,13,1,50,7,2004,1,LJACQUES,50,2004
2018,F,10,110,,51,51,51,1,DORIS,51,1006
2018,F,4,78,,1537,7,7,1,JSOUZA,7,498
2018,F,5,4,1,50,50,50,1,PPASSOLD,50,633
2018,F,2,4,1,50,50,50,1,EKZAPPELINI,50,7
2018,F,6,44,1,1996,1996,1996,1,CDSILVA,1996,6080
2018,F,7,44,1,1996,1996,1996,1,BVIEIRA,6080,1996
2018,F,35,110,1,51,51,51,1,AHSANTOS,1537,51
2018,F,16,110,,51,51,51,1,GERSON,51,5895
2018,F,13,80,1,7,7,7,1,LCAVALLERI,2012,53
2018,F,3,23,1,2008,2008,2008,1,ACRESPALDI,27,2008
2018,F,5,23,1,2008,2008,2008,1,AACASTRO,2004,2012
2018,F,6,2,4,50,50,50,1,WBALSAMO,6230,50
2018,F,3,2,1,50,50,50,1,SRPATRICIO,7,7
2018,F,5,2,1,50,50,50,1,LJACQUES,50,6230
2018,F,2,6,,2012,2012,2010,1,ISRICARTE,2012,2010
2018,F,8,44,1,1996,1996,1996,1,CDSILVA,1996,6080
2018,F,13,44,4,1996,1996,1996,1,BVIEIRA,6080,1996
2018,F,5,23,,2004,2004,2004,1,ACRESPALDI,2012,2004
2018,F,9,10,1,2004,2004,2004,1,VASILVA,2004,50
2018,F,10,10,1,2004,2004,2004,1,LJACQUES,50,633
2018,F,4,80,,1,7,7,1,JSOUZA,7,5221
2018,F,5,44,1,1996,1996,1996,1,CDSILVA,589,1996
2018,F,22,110,1,51,2002,2002,1,BBRIBEIRO,633,2002
2018,F,28,110,1,51,2002,2002,1,FPGCOSTA,51,1537
2018,F,8,110,1,51,2002,2002,1,SRPATRICIO,1537,2002
2018,F,13,110,1,51,2002,2002,1,EDORIGATTI,2002,633
2018,F,7,10,1,50,7,2004,1,AACASTRO,2004,2010
2018,F,11,10,4,50,7,2004,1,MTCESCONETO,633,50
2018,F,10,10,1,50,7,2004,1,LJACQUES,50,633
2018,F,5,110,1,51,51,51,1,GERSON,51,5901
2018,F,7,110,1,51,51,51,1,ESARMENTO,2000,633
2018,F,2,80,1,50,7,50,1,MMANDRADE,7,50
2018,F,3,6,1,2010,2010,2010,1,AHSANTOS,1537,2012
2018,F,18,110,1,51,51,51,1,NELIZA,6027,51
2018,F,4,110,1,51,51,51,1,EDORIGATTI,2002,7
2018,F,9,10,1,2004,50,50,1,VASILVA,2004,633
2018,F,2,10,1,2004,50,50,1,AACASTRO,50,7
2018,F,21,44,1,1996,1996,1996,1,MMANDRADE,1537,6027
2018,F,19,44,1,1996,1996,1996,1,NELIZA,1537,1996
2018,F,5,44,1,1996,1996,1996,1,CDSILVA,62,1996
2018,F,7,44,1,1996,1996,1996,1,PREMOR,6080,1996
2018,F,3,109,1,7,7,1793,1,PPASSOLD,50,1793
2018,F,2,10,1,2004,50,2004,1,VASILVA,50,2012
2018,F,100,110,1,51,51,51,1,MCARVALHO,92,5901
2018,F,96,110,1,51,51,51,1,HVMAZZOLA,51,5901
2018,F,84,110,1,51,51,51,1,MCARVALHO,92,5901
2018,F,42,110,1,51,51,51,1,BBROGNOLI,5901,2002
2018,F,48,110,1,51,51,51,1,SRPATRICIO,1537,6027
2018,F,40,110,1,51,51,51,1,MCARVALHO,92,5901
2018,F,14,110,1,51,51,51,1,VVCOSTA,51,7
2018,F,16,110,,51,51,51,1,FPGCOSTA,51,5895
2018,F,30,110,1,51,51,51,1,BBRIBEIRO,2002,1537
2018,F,2,74,,2004,50,2006,1,EKZAPPELINI,50,2004
2018,F,3,44,1,10,10,10,1,VOLIVEIRA,2018,5893
2018,F,4,44,1,10,10,10,1,VAMARAL,10,5893
2018,F,4,7,1,2006,2006,2006,1,LJACQUES,50,2012
2018,F,6,23,1,2008,2008,2008,1,FGCRUZ,2004,2012
2018,F,2,80,1,6080,6080,6080,1,BVIEIRA,6080,1
2018,F,12,20,1,2006,2006,2006,1,SRPATRICIO,7,50
2018,F,15,20,1,2006,2006,2006,1,SRPATRICIO,7,50
