@relation 'tramitacoes2018_2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2,4,7-8'

@attribute CDASSUNTO {1,2,3,4,5,6,7,9,10,11,13,14,15,16,17,19,20,21,22,23,24,25,26,28,29,30,32,38,39,41,44,49,70,71,73,74,75,77,78,79,80,83,89,91,92,93,94,96,97,98,99,100,101,102,103,105,106,107,108,109,110,111,112,114,115}
@attribute CDSETORRESP {1,2,7,8,10,20,27,32,33,35,39,47,50,51,52,53,60,62,83,90,92,93,141,151,213,229,259,277,284,285,305,348,364,450,756,1006,1078,1103,1286,1308,1397,1417,1537,1538,1539,1540,1541,1575,1786,1788,1791,1793,1844,1875,1876,1881,1978,1996,2002,2004,2006,2008,2010,2012,2014,5743,5885,5930,5982,5994,6027,6028,6029,6080,6083,6097,6211,6214,6215,6216,6221,6224,6227,6230}
@attribute CDSETORABERTURA {3,7,10,27,32,33,50,51,53,60,73,83,84,87,90,92,93,234,613,718,769,775,778,782,990,992,993,997,1006,1026,1061,1065,1072,1095,1205,1235,1249,1561,1786,1788,1791,1793,1835,1844,1875,1996,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2128,5893,5895,5898,5899,5902,6064,6074,6080,6128,6205,6211,6214,6215,6216,6217,6218,6220,6221,6222,6230}
@attribute CDUSUARIO {AACASTRO,VASILVA,MCARVALHO,ACFREITAS,GERSON,VVCOSTA,ISRICARTE,REBSOUZA,FGCRUZ,PVCOSTA,MMANDRADE,SRPATRICIO,MWENTZ,CDSILVA,DDURIEUX,LJACQUES,CFSILVA,MTRICHARTZ,DORIS,JSOUZA,PPASSOLD,EKZAPPELINI,BVIEIRA,AHSANTOS,LCAVALLERI,ACRESPALDI,WBALSAMO,BBRIBEIRO,FPGCOSTA,EDORIGATTI,MTCESCONETO,ESARMENTO,NELIZA,PREMOR,HVMAZZOLA,BBROGNOLI,VOLIVEIRA,VAMARAL,LCSMACHADO,SDCARDOSO,JTRES,RMARTENDAL,CRODRIGUES,SMITHOMAZ,MMDASILVA,NRFERNANDES,DROGLIO,EMMFILHO,RCAVANHOLI,MIPZIMMERMANN,RRZDASILVA,TMBATISTA,SDMARCOS,MGUEDES,LFUHR,APPEREIRA,YCOSTA,ILIMA,PMFINARDI,VAGUIAR,MMARTINS,TBMEDEIROS,MAZEVEDO,LCLAGO,SAKOERICH,BCCORTES,MROSA,LDECKER,RKRAUS,DASILVA,KCIPRIANI,GJMOZZER,TLSANTOS,SFPEREIRA,BLEIRIA,KSANHAIA,VASMAFIOLETTI,RFERNANDES,SFLUZ,FEMSANTOS,YFERREIRA,LRGREGORIO,ACERVI,OBOING,ALIGARAUJO,LMDSANTOS,MVALERIO,GNDASILVA,MSCOSTA,LAVILLA,AMKOCH,FCOLLET,TRAMIRES,CLCCOSTA,IMCKOCHE,SLKRAESKI,ABSSOUZA,BFGONZAGA,MHULLER,LHSAAR,VPARGENDLER,EZANFERRARI,AVPEREIRA,TRECH,LEMPEREIRA,NMGODINHO,FLISBOA,SGA,TCRAIMUNDO,RGPINHEIRO,FREGIS,SRIGOTTI,LMSANTOS,JMMZEFERINO,ISA,HMARTINELLI,JMBARRETO,TCAPISTRANO,AGARAUJO,FBRITO,SSAMORIM,SKOCH,JBOMBASAR,LBUSS,JCCONRADO,RSCHIEFLER,FGREGUI,DCHEINECK,CSILVANO,LFROSA,MSARTOR,RELUZ,ENBRAS,WDACPARRELLA,RDAROS,TGBETIO,VRCASTRO,SELIAS,AMOLIVEIRA,JFONTOURA,MBATTIATO,MMONGUILHOTT,GMERIZE,ISILVEIRA,AVOLIVEIRA,FLCHAVES,FCOMIN,ISNUNES,MFTONINI,MGHENRIQUE,RCARLESSO,JJESKE,BSCUNHA,TBOSCHINI,SAMSILVA,MLIMA,SSIPRIANO,DBRISTOT,BNOSOL,SNORONHA,MCONCEICAO,RSDEMELO,RRAMOS,RGRUMICHE,RZEFERINO,LHNUNES,GDDASILVA,GCORREGGIO,JAPARECIDA,IAFACINI,PWBRAMONT,GFRANZONI,RPTDAVILA,FWESTPHAL,EAFORTES,RAOLIVEIRA,JOFERNANDES,FCORAL,LFIGUEIRO,FKSOUZA,CSMATOS,RSEIFFERT,VACSOUZA,FISILVA,SZALVES,JROMAN,LHTHIESEN,MWALETE,PRSOUZA,AGSILVEIRA,MAYRAS,KPRIM,CSILVEIRA,IZAFFONATO,AAALMEIDA,MCOLSEN,PSSILVEIRA,JMENDES,BCOLPANI,GMAY,AWILBERT,JROSARIO,RMARIA,PALLEBRANDT,MCVIEIRA,HCOUTINHO,SSCOUTINHO,LLSILVA,KASSUNCAO,MLSERPA,FADESDACUNHA,APISANI,TRROCHA,DSEEMANN,MGSILVA,GLDAROS,RRMORAES,EBIAZIN,MRROSA,TDASILVEIRA,SPIRES,JCOMIM,JANAINA,MGATELLI,LPASCOAL,FRRODRIGUES,AASILVA,AJUMES,CSOLIVEIRA,DBERGMANN,RNSTIPP,ALONGO,MDACOREGGIO,JPERING,CHRISTIAN,RDEVANGELISTA,NLORENZ,DCUNHA,JSBVILAIN,MMVALE,TGBARROS,RHSOUZA,CAMILADEOLIVEIRA,MGROSSL,LMARTINS,MMBERNARDINO,CRSANTOS,EVIECELI,CESTEIL,JACOSTA,GSILVEIRA,GMROSA,LVIEIRA,LKEMPNER,MWINTER,CVICENTE,IANNES,ADRIANO,OZANCHI,ROPIRES,AGRAZIOTIN,EGOULART,OCIOFFI,CBOSCHETTO,SOBIERAJSKI,CSIQUEIRA,JMORIGUTI,JBOTEGA,RHOFFMANN,AFERRAZ,EMENDES,TDDESOUZA,LMIGUEL,JKSILVA,LRDUARTE}
@attribute CDSETORORIGEM {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,73,83,84,87,90,92,93,225,234,238,310,429,459,498,589,613,633,718,748,769,775,776,778,782,789,790,862,990,992,993,994,997,1006,1017,1026,1061,1065,1072,1095,1205,1235,1249,1308,1519,1537,1539,1561,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1978,1987,1996,2000,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2127,2128,4732,5221,5893,5895,5898,5899,5901,5902,5932,5944,5957,5984,6020,6027,6029,6064,6065,6074,6080,6128,6205,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}
@attribute CDSETORDESTINO {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,83,84,87,90,92,93,225,230,238,310,429,431,436,459,498,524,589,613,633,748,775,776,778,782,789,790,862,994,997,1006,1017,1308,1519,1537,1539,1562,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1881,1978,1987,1996,2000,2002,2004,2006,2008,2010,2012,2014,2018,2127,2128,2290,4732,5221,5287,5307,5893,5895,5899,5901,5902,5932,5944,5953,5957,5984,5986,6020,6027,6029,6062,6065,6080,6089,6103,6121,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}

@data
10,2004,50,AACASTRO,50,2012
16,50,7,VASILVA,2004,50
110,51,51,MCARVALHO,2000,92
110,51,51,ACFREITAS,5901,2000
110,51,51,GERSON,51,1006
110,51,51,VVCOSTA,2002,7
110,51,51,ACFREITAS,5901,51
10,2004,50,VASILVA,2004,50
23,2008,2008,AACASTRO,2008,2004
23,2008,2008,ISRICARTE,2012,2004
6,2010,2010,ISRICARTE,2012,2010
7,10,10,REBSOUZA,633,50
10,2004,2004,VASILVA,2004,2012
23,2004,2004,FGCRUZ,2004,2012
6,2012,2012,ISRICARTE,2012,2010
110,51,51,PVCOSTA,1006,51
6,7,7,MMANDRADE,7,50
28,1996,1996,SRPATRICIO,1537,6027
28,1996,1996,MWENTZ,1996,1537
28,1996,1996,REBSOUZA,633,1996
28,1996,1996,CDSILVA,1996,633
10,50,7,DDURIEUX,2010,2004
10,50,7,LJACQUES,50,633
10,50,7,AACASTRO,2004,7
23,2004,2004,CFSILVA,2004,2012
1,50,7,LJACQUES,50,7
1,50,7,MTRICHARTZ,6029,7
13,50,7,LJACQUES,50,2004
110,51,51,DORIS,51,1006
78,1537,7,JSOUZA,7,498
4,50,50,PPASSOLD,50,633
4,50,50,EKZAPPELINI,50,7
44,1996,1996,CDSILVA,1996,6080
44,1996,1996,BVIEIRA,6080,1996
110,51,51,AHSANTOS,1537,51
110,51,51,GERSON,51,5895
80,7,7,LCAVALLERI,2012,53
23,2008,2008,ACRESPALDI,27,2008
23,2008,2008,AACASTRO,2004,2012
2,50,50,WBALSAMO,6230,50
2,50,50,SRPATRICIO,7,7
2,50,50,LJACQUES,50,6230
6,2012,2012,ISRICARTE,2012,2010
44,1996,1996,CDSILVA,1996,6080
44,1996,1996,BVIEIRA,6080,1996
23,2004,2004,ACRESPALDI,2012,2004
10,2004,2004,VASILVA,2004,50
10,2004,2004,LJACQUES,50,633
80,1,7,JSOUZA,7,5221
44,1996,1996,CDSILVA,589,1996
110,51,2002,BBRIBEIRO,633,2002
110,51,2002,FPGCOSTA,51,1537
110,51,2002,SRPATRICIO,1537,2002
110,51,2002,EDORIGATTI,2002,633
10,50,7,AACASTRO,2004,2010
10,50,7,MTCESCONETO,633,50
10,50,7,LJACQUES,50,633
110,51,51,GERSON,51,5901
110,51,51,ESARMENTO,2000,633
80,50,7,MMANDRADE,7,50
6,2010,2010,AHSANTOS,1537,2012
110,51,51,NELIZA,6027,51
110,51,51,EDORIGATTI,2002,7
10,2004,50,VASILVA,2004,633
10,2004,50,AACASTRO,50,7
44,1996,1996,MMANDRADE,1537,6027
44,1996,1996,NELIZA,1537,1996
44,1996,1996,CDSILVA,62,1996
44,1996,1996,PREMOR,6080,1996
109,7,7,PPASSOLD,50,1793
10,2004,50,VASILVA,50,2012
110,51,51,MCARVALHO,92,5901
110,51,51,HVMAZZOLA,51,5901
110,51,51,MCARVALHO,92,5901
110,51,51,BBROGNOLI,5901,2002
110,51,51,SRPATRICIO,1537,6027
110,51,51,MCARVALHO,92,5901
110,51,51,VVCOSTA,51,7
110,51,51,FPGCOSTA,51,5895
110,51,51,BBRIBEIRO,2002,1537
74,2004,50,EKZAPPELINI,50,2004
44,10,10,VOLIVEIRA,2018,5893
44,10,10,VAMARAL,10,5893
7,2006,2006,LJACQUES,50,2012
23,2008,2008,FGCRUZ,2004,2012
80,6080,6080,BVIEIRA,6080,1
20,2006,2006,SRPATRICIO,7,50
20,2006,2006,SRPATRICIO,7,50
20,2006,2006,LJACQUES,50,2004
20,2006,2006,SRPATRICIO,7,50
6,2012,2012,LCSMACHADO,2012,2010
6,6029,7,ACRESPALDI,53,2012
2,1793,1793,SRPATRICIO,7,7
10,7,7,SDCARDOSO,2010,2004
10,50,7,LJACQUES,50,633
10,50,7,EKZAPPELINI,50,2004
17,2006,2006,JTRES,2006,7
80,7,7,MMANDRADE,7,53
80,7,7,RMARTENDAL,1788,7
23,2004,2004,AACASTRO,2004,2012
110,51,1996,JSOUZA,1,1996
10,50,7,LJACQUES,50,2004
10,2004,2004,MTCESCONETO,633,50
110,51,51,FPGCOSTA,51,1537
110,51,51,CRODRIGUES,2002,51
23,2004,2004,SMITHOMAZ,2012,2004
2,6230,50,SRPATRICIO,7,50
6,2010,2010,MMDASILVA,2010,1537
7,10,10,LJACQUES,50,2012
7,10,10,PPASSOLD,50,10
97,6211,51,NRFERNANDES,2002,92
97,6211,51,DROGLIO,5901,2002
97,6211,51,NRFERNANDES,2002,51
7,1,7,LJACQUES,50,2004
10,50,7,MMDASILVA,2010,2004
10,50,7,SRPATRICIO,7,50
23,6227,2004,LJACQUES,50,7
39,1,7,SRPATRICIO,1539,7
44,10,10,EMMFILHO,5893,10
44,10,10,RCAVANHOLI,5893,10
17,2006,2006,MIPZIMMERMANN,2006,2004
17,2006,2006,MMANDRADE,7,50
10,1,2004,VASILVA,2004,2012
10,1,2004,MTCESCONETO,633,50
10,1,2004,AACASTRO,2004,2012
17,2006,2006,RRZDASILVA,2006,50
10,1,2004,VASILVA,2012,2004
17,2006,2006,JTRES,2006,2004
17,2006,2006,TMBATISTA,50,2006
7,10,10,SDMARCOS,633,50
44,10,10,RCAVANHOLI,5893,10
44,10,10,MGUEDES,10,5893
44,10,10,LFUHR,10,2018
10,50,7,LJACQUES,2010,50
10,50,7,VASILVA,2004,2010
10,50,7,LJACQUES,50,2004
7,10,10,VOLIVEIRA,2018,10
96,1537,7,MMANDRADE,7,5984
6,2010,2010,MMANDRADE,2010,7
2,50,50,NELIZA,7,50
1,50,7,APPEREIRA,6029,7
1,50,7,LJACQUES,50,6029
80,50,7,NELIZA,1537,7
91,6227,2002,NELIZA,6027,2002
110,51,51,HVMAZZOLA,51,7
110,51,51,NELIZA,7,5895
110,51,51,YCOSTA,5895,7
110,51,51,FPGCOSTA,51,5895
110,51,51,MCARVALHO,92,93
89,50,7,ISRICARTE,50,2012
29,1,7,JSOUZA,7,7
10,7,7,LJACQUES,50,2004
89,50,7,ILIMA,53,92
89,50,7,LJACQUES,50,2012
89,50,7,LJACQUES,50,53
80,1,7,LJACQUES,50,53
80,1,7,ISRICARTE,2012,50
80,1,7,AHSANTOS,1537,7
80,1,7,ILIMA,53,50
10,50,7,LJACQUES,2004,50
89,7,7,LJACQUES,50,633
89,7,7,TMBATISTA,50,2012
16,6029,7,SRPATRICIO,7,50
6,2010,2010,ISRICARTE,10,2012
4,50,50,JSOUZA,7,7
17,2006,2006,AACASTRO,2004,2006
101,10,10,PMFINARDI,5893,10
91,35,2002,NELIZA,6027,2002
6,2010,2010,MMDASILVA,2010,2004
6,2010,2010,ISRICARTE,2012,2010
6,2010,2010,DDURIEUX,2010,2012
80,1,7,AHSANTOS,1537,83
29,1791,1791,VAGUIAR,1791,633
91,50,7,SDMARCOS,633,50
91,50,7,LJACQUES,50,633
91,50,7,MMARTINS,7,50
91,50,7,VASILVA,2004,7
4,6230,6230,PPASSOLD,50,6230
4,6230,6230,SDMARCOS,633,50
4,6230,6230,LJACQUES,50,6230
44,10,10,MGUEDES,10,7
